text,label,label_raw,speaker,image_path
"Eric Hovde “wants to repeal the Affordable Care Act, and kick millions off their health insurance.”",Real,true,Tammy Baldwin,news_images\Real_1_22.jpg
Project 2025 would “end Head Start.”,Real,true,Kamala Harris,news_images\Real_1_23.jpg
"Black women in the U.S. are “three to four times more likely to die in connection with childbirth than other women.""",Real,true,Kamala Harris,news_images\Real_1_24.jpg
"Kamala Harris ""co-sponsored, fully sponsored"" the Green New Deal.",Real,true,Byron Donalds,news_images\Real_1_25.jpg
“Under (the Biden) administration we have witnessed the fastest growth of Black-owned small businesses in more than 30 years.”,Real,true,David Crowley,news_images\Real_1_26.jpg
Wisconsin had a “record-breaking year” for tourism in 2023.,Real,true,Tony Evers,news_images\Real_1_27.jpg
"Under federal law, former President Donald Trump’s “felony convictions mean he can no longer possess guns.”",Real,true,Social Media,news_images\Real_1_28.jpg
“Violent crime is near a record 50-year low.”,Real,true,Joe Biden,news_images\Real_1_29.jpg
“Nearly 90% of all UW graduates stay in Wisconsin 5 years after they graduate.”,Real,true,Tyler August,news_images\Real_2_30.jpg
"“We passed 27 bills last year, which is the fewest since the Depression.”",Real,true,Mark Pocan,news_images\Real_2_31.jpg
"“The United States is an outlier, one of only about half a dozen countries, without any guarantee of paid leave for new parents and/or other health care needs.”",Real,true,Lisa Subeck,news_images\Real_2_32.jpg
"“We’ve had 12 elections in 24 years in Wisconsin that have been decided by less than 30,000 votes.”",Real,true,Brian Schimming,news_images\Real_2_33.jpg
“We’re facing situations these days where you have to have two officers in the evidence room in case there’s an accidental (fentanyl) exposure.”,Real,true,Tammy Baldwin,news_images\Real_2_34.jpg
"“When it comes to how many votes (President) Joe Biden won, it was literally less than a few votes per ward.”",Real,true,Sarah Godlewski,news_images\Real_2_35.jpg
"Gaza has “the highest number of people facing catastrophic hunger ever recorded by the Integrated Food Security Classification system — anywhere, anytime.”",Real,true,António Guterres,news_images\Real_2_36.jpg
The Great Lakes account for “over 20% of the world’s freshwater and over 80% of North America’s freshwater.”,Real,true,Patrick Burke,news_images\Real_2_37.jpg
“We're having the largest classes of correctional officers we've ever had before.”,Real,true,Tony Evers,news_images\Real_2_38.jpg
"“We’ve seen an 800% increase in the Swanton sector, which is the part of the northern border that I represent, in illegal crossings.”",Real,true,Elise Stefanik,news_images\Real_2_39.jpg
“Marijuana is currently classified in the same category of drugs as heroin and a more dangerous category than fentanyl or cocaine.”,Real,true,Kirsten Gillibrand,news_images\Real_2_40.jpg
"Says expanding Medicaid in Wisconsin would save the state $530 million, which could pay for 3,287 K-12 teachers, or 7.8 educators per district.",Real,true,Chris Larson,news_images\Real_2_41.jpg
"Under Joe Biden, there are “record numbers of new Black entrepreneurs.”",Real,true,Joe Biden,news_images\Real_2_42.jpg
Minnesota incarcerates “about a third of what Wisconsin does.”,Real,true,Kelda Helen Roys,news_images\Real_2_43.jpg
Postpartum Medicaid coverage expanded from three states to 43 states because of the Biden administration.,Real,true,Kamala Harris,news_images\Real_2_44.jpg
"“Wisconsin had over 1,400 opioid overdose deaths in 2022.”",Real,true,Tammy Baldwin,news_images\Real_2_45.jpg
"""(The) top issue for college students is the economy.""",Real,true,Scott Walker,news_images\Real_2_46.jpg
"“In April last year, our state unemployment rate hit a record low of 2.4%. Last year, Wisconsin had an all-time lowest number of unemployed workers ever in modern history.”",Real,true,Tony Evers,news_images\Real_2_47.jpg
"“Today in America, 1 in 3 women of reproductive age live in a state with an abortion ban.”",Real,true,Kamala Harris,news_images\Real_2_48.jpg
"Donald Trump “deported less, believe it or not, than Barack Obama even did.""",Real,true,Ron DeSantis,news_images\Real_2_49.jpg
"“We’ve had more Americans die of fentanyl than the Iraq, Afghanistan, and Vietnam wars, combined.”",Real,true,Nikki Haley,news_images\Real_2_50.jpg
"“With school-based professional social workers, the recommendation is 400-to-1, and in Wisconsin, we’re almost triple that.”",Real,true,Jill Billings,news_images\Real_2_51.jpg
"“We sell arms to 60% of the world's autocrats. We are the world's largest arms exporters.""",Real,true,Marianne Williamson,news_images\Real_2_52.jpg
“We produce a lot more wind energy in Texas than California does.”,Real,true,Ted Cruz,news_images\Real_2_53.jpg
"Potato chips, KitKat bars and Viagra are not taxed in Wisconsin because they are considered ""essential.""",Real,true,Melissa Agard,news_images\Real_2_54.jpg
"“Since 1981, the state Senate has only rejected five executive appointments. The GOP today is more than doubling that number.”",Real,true,Melissa Agard,news_images\Real_2_55.jpg
“Lego donates model MRI kits to hospitals to help children understand the procedure and reduce their anxiety.”,Real,true,Instagram posts,news_images\Real_2_56.jpg
"It has been U.S. policy “for at least 79 years"" to require Americans who intend to be evacuated from overseas to sign a promissory note.",Real,true,Brian Krassenstein,news_images\Real_2_57.jpg
"“A few years back,” Mitchell Stadium in Bluefield, W.Va., “was voted the best high school football field in America.”",Real,true,Mike Oliverio,news_images\Real_2_58.jpg
"""Beyonce paid $100K for Maryland Metro to run later following weather delays for her concert.”",Real,true,Instagram posts,news_images\Real_2_59.jpg
Florida has “the highest” homeowners insurance in the nation.,Real,true,Donald Trump,news_images\Real_3_60.jpg
More than “200 dogs showed up and lined up around the block” for a man’s 100th birthday celebration.,Real,true,Facebook posts,news_images\Real_3_61.jpg
“An 11-year-old boy saved the lives of two people on the same day.”,Real,true,Instagram posts,news_images\Real_3_62.jpg
"Infertility is treated differently than other issues and ""often excluded from insurance coverage""",Real,true,Kelda Helen Roys,news_images\Real_3_63.jpg
"“Just last year,” Miami-Dade Public Schools “had over 14,000 new children, 10,000 of which came from four countries of Cuba, Nicaragua, Venezuela and Haiti.”",Real,true,Francis Suarez,news_images\Real_3_64.jpg
"“For African American families in particular, the homeownership rate remains relatively unchanged since 1968, the year the Fair Housing Act was signed into law.”",Real,true,Tim Scott,news_images\Real_3_65.jpg
"“When a basketball player or football or baseball player from another team plays in Wisconsin, that one game's salary, they pay Wisconsin income tax on it. ... So, if for some reason we do not have the Brewers in Wisconsin all of those player salaries that generate dollars for the State of Wisconsin go away.""",Real,true,Robin Vos,news_images\Real_3_66.jpg
"“If you need Girl Scout cookies this year and don’t have a local troop to support, please consider buying from Troop 6000, which is entirely made up of girls living in NYC’s homeless shelters.”",Real,true,Facebook posts,news_images\Real_3_67.jpg
“Joe Biden was older on his first day as president than Ronald Reagan was on his last day.”,Real,true,Jonathan Martin,news_images\Real_3_68.jpg
“Many law enforcement agencies didn’t submit their (hate crime) data to the FBI.”,Real,true,Kirsten Gillibrand,news_images\Real_3_69.jpg
"""WOW county swing suburban voters (in Wisconsin) don't vote for Donald Trump.”",Real,true,Paul Ryan,news_images\Real_3_70.jpg
Manhattan District Attorney Alvin Bragg “has downgraded over 50% of the felonies to misdemeanors.”,Real,true,Ron DeSantis,news_images\Real_3_71.jpg
"""$1 of every $3 (Ron DeSantis) spends comes from the federal government.""",Real,true,Fentrice Driskell,news_images\Real_3_72.jpg
"If New York’s proposed limits on natural gas in buildings take effect, the grid today can’t handle the increased electric load.",Real,true,Robert Ortt,news_images\Real_3_73.jpg
"“Wisconsin is the nation’s top cranberry producer — in fact, our farmers harvest around 60 percent of the country’s crop.”",Real,true,Tony Evers,news_images\Real_3_74.jpg
"""Biden drained America's Strategic Petroleum Reserves to the lowest level since 1984.""",Real,true,Morgan Luttrell,news_images\Real_3_75.jpg
"""Historically, our spring elections (including for state Supreme Court) have a smaller turnout associated with them.""",Real,true,Melissa Agard,news_images\Real_3_76.jpg
"""Latina workers make 54 cents for every dollar earned by white, non-Hispanic men.""",Real,true,Tammy Baldwin,news_images\Real_3_77.jpg
Joe Biden’s $36 billion for a union pension fund is “the largest private pension bailout in American history.”,Real,true,Kevin Brady,news_images\Real_3_78.jpg
Proposed rule would limit milk for WIC participants,Real,true,Elise Stefanik,news_images\Real_3_79.jpg
"In Milwaukee, ""The (homicide) rate has nearly doubled in the past two years.""",Real,true,Bryan Steil,news_images\Real_3_80.jpg
“Gas prices are down back to where they were before Russia invaded Ukraine.”,Real,true,Joe Biden,news_images\Real_3_81.jpg
West Virginia is poised to “receive $25M for 160 orphaned well clean-up projects across the state.”,Real,true,Joe Manchin,news_images\Real_3_82.jpg
“Kari Lake is opposed to red flag laws.”,Real,true,Everytown for Gun Safety,news_images\Real_3_83.jpg
"In Georgia, it's ""illegal to give people water within 150 feet of a polling place"" and ""punishable by up to a year in prison.""",Real,true,Liquid Death,news_images\Real_3_84.jpg
"Nancy Pelosi gave “$30,000 … to boost @LizMathis1’s campaign”",Real,true,Ashley Hinson,news_images\Real_3_85.jpg
David Schweikert has “been convicted of 11 House ethics violations.”,Real,true,Jevin Hodge,news_images\Real_3_86.jpg
"Says Tim Michels ""opposes closing the loophole that allows domestic abusers to buy guns.""",Real,true,A Better Wisconsin Together,news_images\Real_3_87.jpg
“Overdoses reached an all-time high in 2021.”,Real,true,West Virginia Republican Party,news_images\Real_3_88.jpg
"Herschel Walker misled about “personally treating 4,500 veterans per year,” about “graduating from college” and about “working in law enforcement.”",Real,true,Democratic Senatorial Campaign Committee,news_images\Real_3_89.jpg
"“Since 2019, I've successfully lobbied for the funds to add hundreds of school counselors, lowering our student to school counselor ratio by 20%.”",Real,true,Kathy Hoffman,news_images\Real_4_90.jpg
"""40% of the folks who have student loans do not have a college diploma, four-year diploma. These are people who are truck drivers and who are nail technicians and nurses’ aides.”",Real,true,Elizabeth Warren,news_images\Real_4_91.jpg
"Image claims to show a list of ""Republican members of Congress whose PPP loans were forgiven.""",Real,true,Instagram posts,news_images\Real_4_92.jpg
Says Republican U.S. Sen. Ron Johnson “called climate change ‘bull----’ during a record heatwave” and “raked in over $700k in fossil fuel cash.”,Real,true,League of Conservation Voters,news_images\Real_4_93.jpg
"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""",Real,true,Francesca Hong,news_images\Real_4_94.jpg
Texas' public high school graduation rate is at 90% overall.,Real,true,Greg Abbott,news_images\Real_4_95.jpg
“The four big meat packers are raking in record profits … ”,Real,true,Abigail Spanberger,news_images\Real_4_96.jpg
"“In Virginia, Black people are eight times (8X) more likely than white people to die of gun homicide.”",Real,true,Levar Stoney,news_images\Real_4_97.jpg
"“Wisconsin's archaic abortion ban is older than 20 states.""",Real,true,Tony Evers,news_images\Real_4_98.jpg
"""The tax carve out (Ron) Johnson spearheaded overwhelmingly benefited the wealthiest, over small businesses.""",Real,true,Democratic Party of Wisconsin,news_images\Real_4_99.jpg
"In a recent year, the Milwaukee Police Department ""collected more guns per capita off the streets than in New York.”",Real,true,Cavalier Johnson,news_images\Real_4_100.jpg
"In 2020, when Raphael Warnock ran a campaign ad featuring himself with a beagle, “that wasn’t his dog.”",Real,true,Gary Black,news_images\Real_4_101.jpg
"Because of U.S. Senate rules, Democrats need ""more than a majority ... to codify Roe vs. Wade.""",Real,true,Kelda Helen Roys,news_images\Real_4_102.jpg
"The state crime lab under Attorney General Josh Kaul ""is testing significantly less items than former AG Brad Schimel and is still taking longer to test many categories of key items in comparison to Schimel, including DNA.""",Real,true,Eric Toney,news_images\Real_4_103.jpg
"When the New York State Senate voted to legalize abortion in 1970, 12 Republican senators voted in favor of it.",Real,true,Andrea Stewart-Cousins,news_images\Real_4_104.jpg
“New York leads the U.S. in population loss.”,Real,true,Lee Zeldin,news_images\Real_4_105.jpg
We’ve reduced crime to its lowest level in 27 years.,Real,true,Keith Pekau,news_images\Real_4_106.jpg
"Since taking office, Hochul has passed more than 400 new bills",Real,true,Kathy Hochul,news_images\Real_4_107.jpg
"Cannabis reform ""is supported by the majority of the residents of our state, including a majority of Republicans.""",Real,true,Melissa Agard,news_images\Real_4_108.jpg
Only 2% of K-12 students would benefit from Iowa’s school voucher bill.,Real,true,Jennifer Konfrst,news_images\Real_4_109.jpg
“Virginia women are paid 80 cents for every dollar paid to Virginia men.”,Real,true,Tim Kaine,news_images\Real_4_110.jpg
"Florida is ""49th in the nation when it comes to (Medicaid) funding” for people with disabilities.",Real,true,Nikki Fried,news_images\Real_4_111.jpg
“We are No. 1 among all large states in having fully vaccinated teenagers. We are No. 2 in all large states for having fully vaccinated five- to 11- year-olds.”,Real,true,Kathy Hochul,news_images\Real_4_112.jpg
"""The US has made strides in reducing carbon emissions that other parts of the world have not.""",Real,true,Glenn Grothman,news_images\Real_4_113.jpg
"“With the ongoing pandemic, our State Park attendance is at the highest it’s ever been.”",Real,true,Robert Ortt,news_images\Real_4_114.jpg
"""In 2020, more journalists were killed in Mexico than in any other country in the world.""",Real,true,Ted Cruz,news_images\Real_4_115.jpg
"""100,000 Americans died of an overdose in a single year.""",Real,true,John Cornyn,news_images\Real_4_116.jpg
“More than half of Virginia’s school buildings are older than 50 years.”,Real,true,Jennifer McClellan,news_images\Real_4_117.jpg
Says he has issued more pardons than “any Wisconsin governor in contemporary history.”,Real,true,Tony Evers,news_images\Real_4_118.jpg
"""Iowa Republicans have introduced a bill that would put government-installed cameras in every single classroom to livestream school activities for parents to spy on teachers and children.""",Real,true,Brian Tyler Cohen,news_images\Real_4_119.jpg
"In Iowa, “since we have put a number of the voting laws into place over the last several years — voter ID is one of those — we've actually seen voter participation increase, even in off-election years.”",Real,true,Joni Ernst,news_images\Real_5_120.jpg
"""The number of COVID-19 deaths recorded so far in 2021 has surpassed the total for 2020.""",Real,true,Roger Williams,news_images\Real_5_121.jpg
"“You are 17 times more likely to go to the hospital if you’re not vaccinated, 20 times more likely to die.”",Real,true,Jen Psaki,news_images\Real_5_122.jpg
"Gov. Kim Reynolds, touting $210 million for Iowa broadband, “failed to mention these are actually federal funds approved by Rep. Cindy Axne and signed into law by President Joe Biden.”",Real,true,Iowa Senate Democrats,news_images\Real_5_123.jpg
"New York is ""leading the nation with the lowest imprisonment rate of any large state”",Real,true,NYS Department of Corrections and Community Supervision,news_images\Real_5_124.jpg
"“Iowa ranks 45th in the U.S. for internet connectivity.""",Real,true,Cindy Axne,news_images\Real_5_125.jpg
“FUN FACT: West Virginia is home to zero billionaires.”,Real,true,David Gura,news_images\Real_5_126.jpg
Says gubernatorial candidate Rebecca Kleefisch “worked with Scott Walker to sign five abortion restrictions into law that took away services and threatened doctors with prison time for providing safe and legal abortions.”,Real,true,Kelda Helen Roys,news_images\Real_5_127.jpg
"The Biden administration ""published a study concluding 4 (of) 5 new cars on the road by 2050 will still require liquid fuels.""",Real,true,Randy Feenstra,news_images\Real_5_128.jpg
"""Southwest Airlines announce they will no longer terminate employees over the mandate.""",Real,true,Facebook posts,news_images\Real_5_129.jpg
"“The annual Pentagon budget hovers over $750 billion annually, twice that of the much debated Build Back Better Act that costs about $350 billion annually as currently proposed.”",Real,true,Mark Pocan,news_images\Real_5_130.jpg
"“If you look at the hospitalizations at Ruby Memorial in West Virginia, and around the country, 90% to 95% of those hospitalized are unvaccinated.”",Real,true,Kathryn Moffett Bradford,news_images\Real_5_131.jpg
“Overdose deaths in WV are up 45% from the prior year.”,Real,true,David McKinley,news_images\Real_5_132.jpg
"The GOP-controlled Legislature has ""refused to act on at least 150"" appointees of Gov. Tony Evers.",Real,true,Chris Larson,news_images\Real_5_133.jpg
End of eviction moratorium means “millions of Americans” could lose their housing in the middle of a pandemic.,Real,true,Mark Pocan,news_images\Real_5_134.jpg
"The Trump administration worked to free 5,000 Taliban prisoners.",Real,true,Mitt Romney,news_images\Real_5_135.jpg
"In Afghanistan, “over 100 billion dollars spent on military contracts.”",Real,true,Mandela Barnes,news_images\Real_5_136.jpg
A photo shows two COVID-19 patients lying on the floor awaiting treatment in Florida.,Real,true,Viral image,news_images\Real_5_137.jpg
"""We’ve got 115,000 miles of roads in this state and 90% is owned by the locals.”",Real,true,Craig Thompson,news_images\Real_5_138.jpg
"“324,000 pregnant people experience domestic violence during their pregnancy.”",Real,true,Gwen Moore,news_images\Real_5_139.jpg
A quorum-breaking Texas Democrat said in 2007 that mail-in ballot fraud “is the greatest source of voter fraud in this state.”,Real,true,Chip Roy,news_images\Real_5_140.jpg
"“It’s been over 50 years since minimum (wage) and inflation parted ways, then over a decade since the federal minimum went up at all.”",Real,true,Mandela Barnes,news_images\Real_5_141.jpg
“We have a record 9.3 million job openings in the U.S.”,Real,true,Glenn Grothman,news_images\Real_5_142.jpg
"“Before the pandemic, just over 40,000 were on continuing UI claims. Now, there are well over 100,000 on state or federal UI benefits.”",Real,true,Mark Born,news_images\Real_5_143.jpg
It’s not currently “legal for a New York state student to have a glass of fresh whole milk.”,Real,true,Lorraine Lewandrowski,news_images\Real_5_144.jpg
"“Since 1978, CEO compensation rose over 1,000% and only 11.9% for average workers.”",Real,true,Mandela Barnes,news_images\Real_5_145.jpg
"“New Haven, Conn., had to issue bonds for a bridge after using funds for that bridge to pay for a police misconduct settlement.""",Real,true,Tim Kaine,news_images\Real_5_146.jpg
"Wisconsin’s 2019-21 budget produced the first positive general fund balance since 2000, and the governor’s proposed 2021-23 budget would return it to a deficit.",Real,true,Wisconsin Republican Legislative leaders,news_images\Real_5_147.jpg
Opposition to having a fully elected Chicago Board of Education is in the “super minority.”,Real,true,Robert Martwick,news_images\Real_5_148.jpg
“We now have more job openings than we do people who are on unemployment. We have 60% more job openings today than we did the month before the pandemic hit the state of Texas.”,Real,true,Greg Abbott,news_images\Real_5_149.jpg
"“There are more job openings than there are people on unemployment"" in Iowa.",Real,true,Lindsay James,news_images\Real_6_150.jpg
Says he was “one of the 2 (state Senators) who voted against” North Carolina’s body camera law.,Real,true,Jeff Jackson,news_images\Real_6_151.jpg
“San Francisco had twice as many drug overdose deaths as COVID deaths last year.”,Real,true,Kevin Kiley,news_images\Real_6_152.jpg
On Virginia’s new marijuana law: “You can have up to one pound with only a $25 fine.”,Real,true,Kirk Cox,news_images\Real_6_153.jpg
Foxconn “is the largest taxpayer in Racine County.”,Real,true,Van Wanggaard,news_images\Real_6_154.jpg
"“The federal American Rescue Plan will purchase more food from farmers for distribution.""",Real,true,Zach Wahls,news_images\Real_6_155.jpg
“There is racism physically built into some of our highways.”,Real,true,Pete Buttigieg,news_images\Real_6_156.jpg
“Twice as many children are in Border Patrol custody under Biden than Trump peak in 2019.”,Real,true,Greg Abbott,news_images\Real_6_157.jpg
U.S. Rep. Matt Gaetz was the lone vote in the House against an anti-human trafficking bill.,Real,true,Facebook posts,news_images\Real_6_158.jpg
"“There’s still (only) a handful of school districts"" doing no in-person instruction.",Real,true,Tony Evers,news_images\Real_6_159.jpg
West Virginia “is the only state to decline in population over the last 70 years”,Real,true,Jim Justice,news_images\Real_6_160.jpg
"“If you look at the average teacher pay compared to the average pay of your citizens, Virginia ranks last.”",Real,true,Terry McAuliffe,news_images\Real_6_161.jpg
"""Pot today is not the weed baby boomers were smoking.""",Real,true,Barbara Dittrich,news_images\Real_6_162.jpg
"""86% of Americans and 82% of gun owners support requiring all gun buyers to pass a background check.""",Real,true,Beth Wessel-Kroeschell,news_images\Real_6_163.jpg
The Georgia House passed a bill that “makes it a misdemeanor to give food or water to voters waiting in line.”,Real,true,Facebook posts,news_images\Real_6_164.jpg
“The filibuster was never an idea of the founding fathers.”,Real,true,Chuck Todd,news_images\Real_6_165.jpg
“Pipelines do not freeze. They are naturally insulated. They’re buried beneath the ground.”,Real,true,Energy Transfer,news_images\Real_6_166.jpg
"“The National Academy of Medicine points to a significant correlation between marijuana and psychosis, schizophrenia, and other psychotic disorders, particularly in teenagers where the risk of developing schizophrenia increases three fold.”",Real,true,Chris Kapenga,news_images\Real_6_167.jpg
"“Becerra supports Bernie’s government takeover of your health care, eliminating your employer-provided coverage.”",Real,true,Tom Cotton,news_images\Real_6_168.jpg
“We’re the only major gas-producing state in the US that doesn’t have a severance tax.”,Real,true,Tom  Wolf,news_images\Real_6_169.jpg
"“There is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century.""",Real,true,Cory Booker,news_images\Real_6_170.jpg
"“Energy experts and State House Dems, among others, were warning of this (the Texas power blackout) for years.”",Real,true,Beto O'Rourke,news_images\Real_6_171.jpg
"""The Texas power grid is not part of the US power grid because they wanted to avoid federal regulation.”",Real,true,Facebook posts,news_images\Real_6_172.jpg
"“We know mask mandates work. There’s enough evidence out there between counties that have done it and counties that haven’t.""",Real,true,Gordon Hintz,news_images\Real_6_173.jpg
"Insulin prices have ""gone THRU THE ROOF for patients/taxpayers bc of manufacturer, health plan & PBM biz practices.""",Real,true,Chuck Grassley,news_images\Real_6_174.jpg
"North Carolina Secretary of State Elaine Marshall ""has won more statewide races than probably anyone else alive.""",Real,true,Jenna Wadsworth,news_images\Real_6_175.jpg
"“The United States is the only industrialized, modernized country that does not already have a paid family medical leave program in place.”",Real,true,Jennifer Boysko,news_images\Real_6_176.jpg
"Says Joe Biden “has issued more executive fiats than anyone in such a short period of time, ever, more than Obama, more than Trump, more than anyone.”",Real,true,Marco Rubio,news_images\Real_6_177.jpg
"""We put $330 million in general school aids — the largest in more than a decade.""",Real,true,Tony Evers,news_images\Real_6_178.jpg
“There will be several thousand dollars in payments going to families with six-figure incomes who’ve had no income interruption whatsoever.”,Real,true,Pat Toomey,news_images\Real_6_179.jpg
Virginia ranks “in the bottom third of states” in administering the COVID-19 vaccine.,Real,true,Kirk Cox,news_images\Real_7_180.jpg
"""It takes quite a while on Election Day to load those ballots, which is why we have the 1 a.m. or 3 a.m. ballot dumping in Milwaukee.""",Real,true,Devin LeMahieu,news_images\Real_7_181.jpg
"“It wasn’t all women that lost jobs (in the December jobs report), it was mostly Black and Latina women. In fact, white women gained employment.”",Real,true,Sarah Godlewski,news_images\Real_7_182.jpg
The second presidential impeachment of Donald Trump was “the most bipartisan impeachment in American history.”,Real,true,Jake Tapper,news_images\Real_7_183.jpg
"Summer “protesters outside the White House were met with tear gas, rubber bullets, a full militarized response. While ... rioters were able to breach the Capitol.”",Real,true,Sherrod Brown,news_images\Real_7_184.jpg
"Before COVID-19,  “more Iowans (were) working than at any other time in our state history.""",Real,true,Kim Reynolds,news_images\Real_7_185.jpg
"""This election actually was not unusually close.""",Real,true,Mitch McConnell,news_images\Real_7_186.jpg
"In more than 60 cases, judges “looked at the allegations that Trump was making and determined they were without any merit.”",Real,true,Joe Biden,news_images\Real_7_187.jpg
“Congress has one job here: to count electoral votes that have in fact been cast by any state.”,Real,true,Mike Gallagher,news_images\Real_7_188.jpg
"“In my state, as in many other states, we have governors who are closing down businesses again.”",Real,true,Pat Toomey,news_images\Real_7_189.jpg
“Jurisdictions representing about 80% of WI residents have passed referendums or resolutions in favor of fair maps.”,Real,true,Chris Larson,news_images\Real_7_190.jpg
"""New data shows in-person learning isn't driving spikes in cases.""",Real,true,Mike Gallagher,news_images\Real_7_191.jpg
“Wisconsin is one of the few states that doesn’t allow absentee ballots to be processed before Election Day.”,Real,true,Tim Carpenter,news_images\Real_7_192.jpg
"“Republican elected officials, a network of propaganda publications in the state and some radio shock jocks” were spreading “a lie” about his daughter breaking COVID-19 restrictions.",Real,true,JB Pritzker,news_images\Real_7_193.jpg
Says COVID-19 has killed more North Carolinians in a year than the flu has in 10 years.,Real,true,Mandy Cohen,news_images\Real_7_194.jpg
"“People of color and those of not, they use marijuana at the same rate. People of color are three times more likely to get arrested and convicted.”",Real,true,Ralph Northam,news_images\Real_7_195.jpg
"When Donald Trump lost the Iowa caucus to Ted Cruz in 2016, ""he immediately cried that Cruz cheated.”",Real,true,X posts,news_images\Real_7_196.jpg
"""We heard from the Department of Homeland Security ... that this was probably the most secure election that’s ever been run in the United States.”",Real,true,Tammy Baldwin,news_images\Real_7_197.jpg
"""I’ve released 22 years of my tax returns. You can go online and look. (Donald Trump) hasn’t released one.”",Real,true,Joe Biden,news_images\Real_7_198.jpg
"Farm bankruptcies are ""at an eight-year high.""",Real,true,Theresa Greenfield,news_images\Real_7_199.jpg
"Says Dan Forest has “missed almost half of the Board of Education meetings during the pandemic.""",Real,true,Roy Cooper,news_images\Real_7_200.jpg
My 2018 election was the first time Speaker Robin Vos has lost a Republican-held seat,Real,true,Robyn Vining,news_images\Real_7_201.jpg
Joe Biden “wants to get rid of something called ‘stepped up basis’” that reduces inheritance taxes.,Real,true,Facebook posts,news_images\Real_7_202.jpg
"“While serving as Town Supervisor, Nate McMurray voted to raise taxes on homeowners.”",Real,true,Chris Jacobs,news_images\Real_7_203.jpg
"Georgia has “almost 100,000 more (COVID-19) cases, almost twice as many deaths and almost 600 more nursing home deaths than North Carolina.”",Real,true,Roy Cooper,news_images\Real_7_204.jpg
“West Virginia has one of the greatest percentages of veterans in any state.”,Real,true,Jim Justice,news_images\Real_7_205.jpg
“Wisconsin Republicans have not passed a single bill in 6 months.”,Real,true,Facebook posts,news_images\Real_7_206.jpg
The president's own FBI director said that the greatest domestic terrorist threat is white supremacists.,Real,true,Joe Biden,news_images\Real_7_207.jpg
"“That 5% (wealth tax) starts at $159,000 per family.”",Real,true,Phil Scott,news_images\Real_7_208.jpg
“In the last 10 years less than half of adults in the U.S. received a flu shot.”,Real,true,Michael Burgess,news_images\Real_7_209.jpg
